Year,PemAT,SAM,lWF,mWF,tWF
1964,19.2,-1.519166667,14818,18587,1074
1965,20.1,-0.654166667,0,2064,171
1966,20.1,-0.46,5410,3038,674
1967,20.6,-0.25,579,2575,1447
1968,18.5,-1.116666667,215,663,274
1969,20.2,-0.4025,470,7240,5396
1970,20,-0.409166667,0,463,213
1971,18.6,-0.568333333,0,620,0
1972,20.8,-0.9975,136,1636,394
1973,19.5,0.388333333,1160,12027,786
1974,19.9,-0.248333333,5,1442,1190
1975,20.3,-0.629166667,4882,2222,19
1976,20.7,-0.095,283,1432,136
1977,20.7,-0.754166667,165,4161,32
1978,21.1,0.211666667,462,2393,113
1979,20.2,0.569166667,1332,316,113
1980,19.9,-0.9225,0,352,429
1981,19.5,-0.24,124,3933,1824
1982,19.7,0.391666667,28,1946,18
1983,20.8,0.433333333,647,2494,132
1984,19.9,-0.673333333,2,1190,73
1985,20.5,0.506666667,6777,7033,47
1986,19.5,-0.306666667,114,4820,106
1987,,-0.231666667,377,4472,1519
1988,21,-0.931666667,4197,5687,795
1989,,0.656666667,544,730,166
1990,,-0.336666667,8,305,56
1991,20.7,-0.32,1959,12888,1419
1992,20.3,-0.415,11740,5792,2209
1993,20,1.126666667,177,933,1035
1994,21.5,-0.0475,207,1447,0
1995,20.9,0.366666667,626,1546,2036
1996,20.9,-0.411666667,12,10740,3574
1997,21.1,0.348333333,1460,20826,3263
1998,20.9,1.598333333,30,2755,1470
1999,21.4,1.265833333,1868,1908,4515
2000,20.9,0.2625,341,754,1752
2001,20.4,0.5375,180,158,0
2002,21.1,-0.506666667,16875,39153,3697
2003,21.2,0.081666667,13302,14294,7
2004,20.8,0.350833333,77,5011,16
2005,20.2,0.276666667,6,6636,9
2006,21.4,0.499166667,707,2666,714
2007,20.8,-0.27,120,819,1629
2008,20.8,0.945833333,0,30,20
2009,20.9,0.12,6,18046,501
2010,21.5,1.154166667,1208,3162,10
2011,22.1,0.236666667,255,14820,315
2012,21.9,0.82,1096,1488,6660
2013,21.5,0.2125,0,169,9
2014,21.5,0.505833333,9146,4472,0
2015,22.1,1.6075,2514,17825,26259
2016,20.8,0.758333333,29,767,8
2017,21.1,0.545833333,0,283,2
2018,20.8,0.760833333,24,1399,137
