,n1964,n1965,n1966,n1967,n1968,n1969,n1970,n1971,n1972,n1973,n1974,n1975,n1976,n1977,n1978,n1979,n1980,n1981,n1982,n1983,n1984,n1985,n1986,n1987,n1988,n1989,n1990,n1991,n1992,n1993,n1994,n1995,n1996,n1997,n1998,n1999,n2000,n2001,n2002,n2003,n2004,n2005,n2006,n2007,n2008,n2009,n2010,n2011,n2012,n2013,n2014,n2015,n2016,n2017,n2018
1,,0,0.095637584,0,0.00E+00,0,0,0,0,0.002944488,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0.001307854,0,0,0.000683995,0,0,0,0,0,0,0.000981997,0.527384691,0.000214577,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.025445293,,0.00E+00,0,0,0,0,0,0,0,0,0,0,0.00615148,0,0,0,0,0,0,0,0,0,0,0.151693667,0,0,0.001251564,0,0.000509313,0,0,0,0.000526223,5.00E-02,0,0,0,0,0.000327761,0,0,0,0,0,0,0,0,0,0,0.000160927,0,0,0,0
3,0,0,,0.003574848,0,0,0,0,2.47E-03,0,0,0.007556675,2.57E-02,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0.000568397,0.001259446,0,0,0,0,0,0.0001755,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001126443,0,0,0,0,0,0
4,0,0.00E+00,0,,0.008200397,0,0,0,0.02119883,0,0,0,0,0,0,0,0,0,0,0,0,0.000266064,0,0,0,0,0,0,0.053038354,0,0,0,0,0,0,0,0,0,0,0.325144509,0,0,0,0.000436808,0,0,0,0,0,0,0,0,0,0,0
5,0.095092025,0,0,0,,0,0,0,0,0,0.003787879,0.00E+00,0,0,0,0,0,0.027650613,0,0,0,0.000111744,0,0,0.517011341,0,0,0,0.114300718,0,0,0,0,0,0,0,0.004954875,0.020123839,0,0,0,0,0.061157025,0,0,0,0,0.000988942,0,0,0,0,0,0,0.148148148
6,0.386831276,0,0,0.136898096,0,,0,0,0,0.00133824,0,0,0,0,0.00E+00,0.001486498,0,0,0,0,0.00E+00,0,0.002006904,0,0.002430556,0,0,0.082895943,0.291087963,0,0.000102459,0,0,0.079281581,0,0,0,0,0,0,0,0,0.110966057,0,0,0,0,0,0,0,0,0.028474767,0.005560704,0,0
7,0.558673469,0,0,0,0.047723533,0,,0,0.244897959,0.011985491,0,0,0,0,0,0,0,0.104477612,0,0,0,0.671413349,0,0,0.00066569,0.000348068,0,0,0.371820494,0,0,0,0,0,0.000735054,0.027577562,0.079407806,0,0.406867105,0,0,0,0,0.027675277,0,0,0,0.002746269,0.032022828,0,0,0.005649718,0,0,0
8,0.66,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.000604351,0,0,0,0.015410299,0.000133351,0,0.350990327,0.002506837,0,0,0.010079051,0,0,0,8.17528E-05,0,0,0.734246575,0,0,0,0.000362188,0,0,0,0,0.000151137,0,0,0.000360133,0.005486132,0,0,0
9,0.422918384,0,0,0,0,0,0,0,,0.004701457,0,0,0,0,0.051764706,0,0,0,0,0,0,0.006715917,0,0,0.610532407,0,0,0,0,0,0,0,0,0.000300526,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0.001984757,0,0.898667831,0.008736378,0,0,0.022670025
10,0,0,0,0,0,0,0,0,0,,0,0,0,0.060111188,0.000956938,0.00E+00,0,0,0,0,0,0,0,0,0.198820059,0,0.000131285,0.002800747,0.161559889,0.015472313,0,0,0,0.000199641,0.000150308,0.00152207,0,0,0.755924566,0,0,0,0,0,0,0,0,0,0,0,0.034319196,0.25566343,0,0,0
11,,0,0,0,0,0,0,0,0.062150404,0.148387097,,0.6725845,0,0,0.179699248,0,0,0,0,0,0,0,0,0,0,0,0,0.051601891,0,0,0,0,0,0,0,0,0,0,0.314547721,0.001025641,0,0,0.008906634,0,0,0,0,0.059427337,0,0,0,0.002889338,0,0,0
