,n1964,n1965,n1966,n1967,n1968,n1969,n1970,n1971,n1972,n1973,n1974,n1975,n1976,n1977,n1978,n1979,n1980,n1981,n1982,n1983,n1984,n1985,n1986,n1987,n1988,n1989,n1990,n1991,n1992,n1993,n1994,n1995,n1996,n1997,n1998,n1999,n2000,n2001,n2002,n2003,n2004,n2005,n2006,n2007,n2008,n2009,n2010,n2011,n2012,n2013,n2014,n2015,n2016,n2017,n2018
1,0,9.05879E-05,0.002354821,0,5.20E-05,0.00013986,6.8167E-05,0,0.00537323,0.003009845,7.16836E-05,0.00609112,3.82504E-05,0.000304959,0,0.000196036,0,0.035768974,0,0,0.000237214,0.000143398,0.000828172,2.28E-04,0,0.005408835,2.60546E-05,0.000420855,0,0.000180908,0,0.001722338,3.44139E-05,0.000191287,0,0.000150693,0,0,0.001085669,0.23449675,0,0.000961076,0,0,7.67342E-05,0.001071893,3.11226E-05,0.006760738,0.000269241,0.001044205,0,0,0,2.54472E-05,0.00058817
2,0.00801183,0.000355673,3.04E-04,0.00137156,7.99504E-05,0.002227463,4.03682E-05,7.89741E-05,0.000804008,0.000130548,4.38471E-05,1.43441E-05,0.001051563,0.008902651,0.001477076,0.000227278,0.000175412,0.001515989,2.04094E-05,1.93603E-05,0.004091449,0.00122271,0.000899437,0.000306953,0.000295034,4.07282E-05,3.03924E-05,0.002112952,0.000623535,0.00192226,6.06061E-05,0.000207987,0.001503257,0.006721009,4.07E-04,9.87791E-05,7.53693E-05,0,0.000879548,0,0.003664774,0.049169881,0,0.001029925,0,0.000614015,7.70951E-05,0.000281105,0.00335108,0.000173134,0.000348432,0.000972053,0,0,7.63611E-05
3,0.012264514,0.009350141,0.000750576,0.004438107,0.000516529,0.009736291,0.000362319,0.001481963,4.55E-03,0.005660025,0.002550344,0.000132991,4.12E-03,0.000835058,0.01505089,0.000312922,0,0.000658993,3.57539E-05,1.64E-04,0.000368224,8.35282E-05,0.001563986,0.000290943,3.61259E-05,0.00049819,0,0.000364964,0.000130849,0.001631895,0.000730194,0.000606097,0.000208714,0.015005299,0.001051101,0.000239366,3.95155E-05,7.54546E-05,0.000342198,9.26784E-05,0.000501253,0.000646974,3.52746E-05,0.000841493,0.000401077,0.00010287,0,0.000463392,6.25704E-05,0.000188555,0.000846577,0.012433393,0.000732064,0,3.63603E-05
4,0.01730516,2.65E-02,0.001052687,0.005426401,0.000921076,0.041686377,0.00319543,0.015939362,2.06407E-05,0.003125454,0.000125604,0.001235516,0.001354081,1.46402E-05,0.012870855,0,0.000402528,0,0,0.002307595,0.001903265,0.01136453,0,0.001343194,0.000204368,0.000127982,0.001201081,0.000903695,0.00855117,0.000314639,2.51636E-05,0.00012179,0.000243754,0.001253133,0,0.000228311,0.00069486,0.000118612,0.000377558,0.000979384,0.001437448,0.001506175,6.07103E-05,0.003002473,0.000102145,0.000538761,0.002356048,7.69941E-05,0,0.000156438,3.14347E-05,0.015122618,0,0,0
5,0.071187963,0.002253192,0.011210463,0.005839094,0.005582364,0.040623321,0.000458033,0.000194712,0.00943364,0.005691932,0.00096476,1.80E-04,0.000191784,0.001688757,0.002161133,0.000260688,0.002827582,0.018892438,4.58652E-05,0.001763996,0.002129289,0.00181727,0.004345027,0.000168289,0.086466905,0,0.000941957,0.030305092,0.029704441,0.00138147,0.000183626,0.003623918,0.000123699,0.002547454,0.013071895,0.001817872,0.000703012,0,0.104635054,0,4.90485E-05,0.003023818,0.002994321,0.000635168,0.00048531,0.071767891,0.003158598,0.00013012,0.00797551,0.000541126,7.82877E-05,0.002106918,0,0,0
6,0.09073402,0.001531394,0.002654345,0.025326048,0.000292922,0.008013822,0.002013482,0.000165481,0.005651034,0.048290684,0.018230958,0.006624281,0.022613409,0.158465317,1.17E-02,0,0,0.014574318,5.7374E-05,0.00254269,0.00E+00,0.032438386,0.007917376,0.04291508,0.01532567,0.000486232,2.99581E-05,0.048210226,0.021709937,0.000413309,0.030665716,0.014064919,0.001105151,0.156500292,0.007244793,0.004213109,0.000927751,3.53438E-05,0.090594927,0.000110848,0.142176511,0.026571709,0.000188457,0,2.07637E-05,0.001462043,0.001407523,0.002805733,0.001067319,0.000649667,0,0.033150556,0,0,0
7,0.050119719,0.004667445,0,0.023210434,0.003235924,0.032019265,0.000310366,0.002458452,0.108912688,0.014513683,0.011615989,0.028638375,0.001157675,0,0,0.003608936,0.001179688,0.092653437,0.058672553,0.000858838,0.018103475,0.10796327,0.110783657,0.012975622,0.005087575,0.002586804,0.000182493,0.003939515,0.059014326,0.001100499,0.008212019,0.005960392,0.009177563,0.019781645,0.008413826,0.003437739,0.005632443,0,0.121578695,0.00119298,0.000355129,0.00027465,0.141529141,0.003629507,0.000103875,0.013539283,7.51371E-05,0.101633578,0.001040264,0.000130307,8.12612E-05,0.094475395,0,0,0.011309734
8,0.178146802,0.003212679,0.00060818,0.037439078,0.001584248,0.019318654,0.000371299,0,0,0.011176158,0.015552653,0,0.000379435,0.000215222,0.005672218,0.000168947,0.002268829,0.002682323,0,0.006926535,0.01916269,0.013064226,0.013625304,0,0.002197802,0.000759001,0.000286467,0.221905633,0.005657116,3.06617E-05,0.005105297,0.000442165,0.141007839,0.243639966,0.000274791,0.020491517,9.76149E-05,0.001635092,0.521345029,0.000411062,0.06171907,0.000152777,0.000366569,0,0,0.000219901,0.000257887,0.000226031,0.002228517,0.000245113,5.21349E-05,0.029782733,0.000206143,0.004575589,0
9,0.143262411,0.010234609,0.000962627,0.041454418,0.007070707,0.000158856,0.004605527,0,0,0.128124637,0.098854962,0.015461216,0,0.000125976,0.001409756,0.001341791,0.006576981,0.003446816,0.005210333,0,0.006570842,0.041048467,0.007955077,0.017028918,0.00210984,0.003924133,0.006326077,0.000147124,0.041729679,0.005794433,0.000329815,0.017394915,0.005512509,0.076204131,0,0.005195448,0.007449669,0.005025126,0.014916097,0,3.35E-04,0.037805816,0.000157791,0,0,0.000900261,0,0.133240259,0.003870199,0.000805647,0.075314328,0.153051946,0.000187354,0,0.005680106
10,0.032978867,0.000862069,0.000820749,0.001713524,0.000911162,0.02809208,0,0,0.002247191,0.002272258,0.008706094,0.009371555,0.009846154,0,0.14638009,2.24E-03,0,0,9.05141E-05,0.073547744,0,0.033547794,0.01,0.1871217,0.000428357,0.008245432,0.000704501,0.013275565,0.011661808,0.004281433,0,0.003695394,0.519838465,0.034455584,0.083929216,0.025014715,0,0,0.140363128,0,0,0.019341259,4.77304E-05,0,0.000242984,0.224006866,0,0.286085973,0.019140099,0.00010141,0.043211062,0.004223146,0.03674758,0,0
