,n1964,n1965,n1966,n1967,n1968,n1969,n1970,n1971,n1972,n1973,n1974,n1975,n1976,n1977,n1978,n1979,n1980,n1981,n1982,n1983,n1984,n1985,n1986,n1987,n1988,n1989,n1990,n1991,n1992,n1993,n1994,n1995,n1996,n1997,n1998,n1999,n2000,n2001,n2002,n2003,n2004,n2005,n2006,n2007,n2008,n2009,n2010,n2011,n2012,n2013,n2014,n2015,n2016,n2017,n2018
1,0.000140056,0,0,0,4.77E-05,0.000174125,0,0,0,0.003727462,0,0,0,0,0,0,0.000789889,0,0,0,0,0,0,6.02E-05,0,0,0,0.000458253,0,0,0,0.008133755,0,0.000243112,0,0,0.000143554,0,0,0.000262881,0,0,0,0,0,0,0.000144791,0,0.004627249,0,0,0,0.000308804,0,0
2,0.001818182,0,7.69E-05,0.003641513,0.002211166,0.002576951,0,0,0.000445236,0.002664577,0.017991466,0,0,0.00442366,0.000224115,0,0.000290824,0,0,0,0.000570255,0.000187301,0.001057641,0,0,0,0,0,0.006235672,0.002582126,0,0.006364922,0,0.000762263,8.11E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025686977,0,0,0.195121951,0,0,0
3,0.000926999,0,0,0.00997025,0,0.035465256,0.000392061,0,8.29E-05,0.002759382,0.003939489,0,7.17E-05,0,0.001548387,0,0,0,0,5.54E-05,0,0,0.003901418,0,0.000326691,0,0,0.0020558,0.000638621,0.00758066,0,0.002426203,0,0.025133283,0.0010787,0.000811096,0.000229753,0,0,0,0,0,0,0.006776456,0,0,0,0,0.000222239,0,0,0.065837417,0.138888889,0,0
4,0.014896373,8.19E-05,0.001907631,0.00203252,0.000176772,0.028418355,0.001283038,0,0,0.018369039,0.000807184,0.000158203,0.00054203,0,0.000212089,0.004782215,0.001303181,0.029465623,0,0.000575506,0.002623474,0,0,0.000681,0,0,0,0.005548442,0.000294551,0,0,0.007208766,0.027343219,0.095996556,0.004173187,0.002302587,0,0,0,0,0,0,0.000137476,0.043603534,0,0,0,0,0.000220337,0,0,0.24535124,0,0,0
5,0.016499283,0,0.001618705,0.00061106,0,0.027228939,0.001062323,0,0.000778574,0.003198863,0.014213786,5.05E-05,0.001814583,0.000136178,0.000728173,0,0.01897019,0,0,0.000194884,0.000231415,0,0.001410076,0,0,0,0,0.075071773,0.015525506,0.031529319,0,0.017920478,0.000440982,0,0.000952683,0.018419648,0.000362746,0,0.007928301,0,0,0,0,0.00345925,0,0,0,0,0.043253409,0,0,0,0,0,0
6,0,0,0.031465093,0.045879093,0,0.219045851,0,0,0.00866648,0.000362582,0.015646941,0.001370865,0.002933457,0,4.55E-05,0,0,0.245637329,0.000396668,0,4.95E-05,0.000406764,0,0.075630252,0,0,0.000108085,0.001749399,0.018083063,0.019388352,0,0.012569376,0.002479024,0,0.002817695,0.162428481,0,0,0,0,0,0,0.003002001,0,0,0,0,0,0.001628499,0.0002457,0,0.360403082,0,0,0
7,0.007137923,0.00044613,0,0.053789731,0.009422111,0.023863836,0.004266874,0,0.061728395,0.006363191,0.002135839,0.000277085,0.000840336,0,0,0.003475135,0.00060423,0.003093581,0.00054615,0.005736138,0.006581654,0,0.001351832,0.002389822,0,0,0,0.003911343,0.027612105,0.000681292,0,0.02107438,0.127744317,0.011565666,0,0.031365314,0.015177714,0,0.044909906,0,0,0,0.115960818,0.00066912,0,0.016977456,0,0,0.0367713,0.000509736,0,0.517245179,0,0,0
8,0.008824178,0.00026476,0,0.037171351,0,0.020279995,0,0,0.005363528,0,0.034390113,0,0,0,0,0,0.004902414,0,0,0,0,0,0.000512453,0,0.014894223,0,0.004241782,0.022587269,0,0,0,0.000523149,0.319332566,0.029068382,0.001547239,0.267559809,0.000153445,0,0.513632608,0,0,0,0,0,0,0,0,0,0.002921841,0,0,0.02114061,0.000841609,0.000715015,0
9,0.050847458,0.000364476,0.005220418,0.010944563,0.00118624,0.012411348,0.004481986,0,0,0.047951177,0.045751634,0,0,0,0.000459306,0.002751855,0,0,0,0,0,0,0,0.065385247,0.069569224,0.002264225,0,0.008753202,0.189462718,0.01745828,0,0.088152526,0.000289771,0.413266469,0,0.007748184,0.210567823,0,0.000195656,0,5.49E-05,0,0.000151309,0,0,0,0,0,0.032641547,0,0,0.885682698,0.00024975,0,0.026318616
10,0.007372517,0.009677419,0.001715897,0,0,0.498559078,0.01980198,0,0,0.015952981,0.031284303,0,0,0,0.001385042,9.76E-05,0.006074412,0,0,0,0.001183432,0.000626959,0,0.009794319,0.000130225,0,0.000993707,0.001493652,0.000663277,0.00230179,0,0,0.010622155,0.002489533,0.405279503,0.2831245,0.000539491,0,0.002592353,0,0,0,0,0.000800256,0,0.014098897,0,0,0.108261406,0,0,0.007761565,0,0,0
