Bioregion,Year,Type,Area_ha,Binary
Jarrah Forest,1950,PB,1022.892,PB
Jarrah Forest,1950,WF,7417.866,WF
Jarrah Forest,1950,PB,26.341,PB
Jarrah Forest,1950,WF,6.981,WF
Warren,1950,PB,49.408,PB
Warren,1950,PB,30.404,PB
Warren,1950,PB,11.808,PB
Warren,1950,PB,21.765,PB
Warren,1950,PB,26.073,PB
Warren,1950,PB,65.162,PB
Warren,1950,PB,6.59,PB
Warren,1950,PB,12.031,PB
Warren,1950,PB,7.245,PB
Warren,1950,PB,32.147,PB
Warren,1950,PB,24.019,PB
Jarrah Forest,1950,WF,8.819,WF
Jarrah Forest,1950,PB,35.419,PB
Swan Coastal Plain,1950,WF,3.545,WF
Jarrah Forest,1950,WF,151.177,WF
Jarrah Forest,1950,PB,10.82,PB
Swan Coastal Plain,1950,PB,2.553,PB
Jarrah Forest,1950,PB,10.765,PB
Swan Coastal Plain,1950,WF,5.176,WF
Jarrah Forest,1950,PB,45.173,PB
Jarrah Forest,1950,999,55.18,WF
Jarrah Forest,1950,WF,1.539,WF
Jarrah Forest,1950,WF,1.539,WF
Jarrah Forest,1950,WF,1.539,WF
Jarrah Forest,1950,WF,1.539,WF
Jarrah Forest,1950,WF,98.163,WF
Jarrah Forest,1950,PB,15.587,PB
Jarrah Forest,1950,PB,30.799,PB
Jarrah Forest,1950,PB,877.141,PB
Jarrah Forest,1950,PB,10.763,PB
Jarrah Forest,1950,PB,2.358,PB
Jarrah Forest,1950,WF,1.745,WF
Jarrah Forest,1950,PB,82.523,PB
Jarrah Forest,1950,PB,397.343,PB
Jarrah Forest,1950,WF,12.831,WF
Jarrah Forest,1950,PB,48.676,PB
Jarrah Forest,1950,PB,31.048,PB
Jarrah Forest,1950,PB,43.714,PB
Jarrah Forest,1950,PB,61.616,PB
Jarrah Forest,1950,PB,216.633,PB
Jarrah Forest,1950,WF,50.154,WF
Jarrah Forest,1950,PB,19.662,PB
Jarrah Forest,1950,PB,86.075,PB
Jarrah Forest,1950,PB,21.161,PB
Jarrah Forest,1950,PB,143.76,PB
Jarrah Forest,1950,WF,1.539,WF
Jarrah Forest,1950,WF,1.539,WF
Jarrah Forest,1950,PB,47.569,PB
Jarrah Forest,1950,WF,1.539,WF
